"SUBJECT","Subject","LOCATION","Country","MEASURE","Measure","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"CPALTT01","Consumer prices: all items","BRA","Brazil","GP","Growth previous period","A","Annual","2014","2014","PC","Percentage","0","Units",,,6.32904015516139,,
"CPALTT01","Consumer prices: all items","BRA","Brazil","GP","Growth previous period","A","Annual","2015","2015","PC","Percentage","0","Units",,,9.0299010241613,,
"CPALTT01","Consumer prices: all items","BRA","Brazil","GP","Growth previous period","A","Annual","2016","2016","PC","Percentage","0","Units",,,8.73914352329392,,
"CPALTT01","Consumer prices: all items","CHL","Chile","GP","Growth previous period","A","Annual","2014","2014","PC","Percentage","0","Units",,,4.7186752785467,,
"CPALTT01","Consumer prices: all items","CHL","Chile","GP","Growth previous period","A","Annual","2015","2015","PC","Percentage","0","Units",,,4.3487735321705,,
"CPALTT01","Consumer prices: all items","CHL","Chile","GP","Growth previous period","A","Annual","2016","2016","PC","Percentage","0","Units",,,3.78619355893114,,
"CPALTT01","Consumer prices: all items","CHN","China (People's Republic of)","GP","Growth previous period","A","Annual","2014","2014","PC","Percentage","0","Units",,,1.92164308561073,,
"CPALTT01","Consumer prices: all items","CHN","China (People's Republic of)","GP","Growth previous period","A","Annual","2015","2015","PC","Percentage","0","Units",,,1.43702451394757,,
"CPALTT01","Consumer prices: all items","CHN","China (People's Republic of)","GP","Growth previous period","A","Annual","2016","2016","PC","Percentage","0","Units",,,2.00000000000002,,
"CPALTT01","Consumer prices: all items","EST","Estonia","GP","Growth previous period","A","Annual","2014","2014","PC","Percentage","0","Units",,,-0.106175146521696,,
"CPALTT01","Consumer prices: all items","EST","Estonia","GP","Growth previous period","A","Annual","2015","2015","PC","Percentage","0","Units",,,-0.492326006547323,,
"CPALTT01","Consumer prices: all items","EST","Estonia","GP","Growth previous period","A","Annual","2016","2016","PC","Percentage","0","Units",,,0.148684907627339,,
"CPALTT01","Consumer prices: all items","IND","India","GP","Growth previous period","A","Annual","2014","2014","PC","Percentage","0","Units",,,6.35319454414931,,
"CPALTT01","Consumer prices: all items","IND","India","GP","Growth previous period","A","Annual","2015","2015","PC","Percentage","0","Units",,,5.87242659466757,,
"CPALTT01","Consumer prices: all items","IND","India","GP","Growth previous period","A","Annual","2016","2016","PC","Percentage","0","Units",,,4.94102645839974,,
"CPALTT01","Consumer prices: all items","IDN","Indonesia","GP","Growth previous period","A","Annual","2014","2014","PC","Percentage","0","Units",,,6.39492540819922,,
"CPALTT01","Consumer prices: all items","IDN","Indonesia","GP","Growth previous period","A","Annual","2015","2015","PC","Percentage","0","Units",,,6.36312113115612,,
"CPALTT01","Consumer prices: all items","IDN","Indonesia","GP","Growth previous period","A","Annual","2016","2016","PC","Percentage","0","Units",,,3.5258051568793,,
"CPALTT01","Consumer prices: all items","ISR","Israel","GP","Growth previous period","A","Annual","2014","2014","PC","Percentage","0","Units",,,0.486495554437188,,
"CPALTT01","Consumer prices: all items","ISR","Israel","GP","Growth previous period","A","Annual","2015","2015","PC","Percentage","0","Units",,,-0.63439065108515,,
"CPALTT01","Consumer prices: all items","ISR","Israel","GP","Growth previous period","A","Annual","2016","2016","PC","Percentage","0","Units",,,-0.546034946236555,,
"CPALTT01","Consumer prices: all items","RUS","Russia","GP","Growth previous period","A","Annual","2014","2014","PC","Percentage","0","Units",,,7.82341574601106,,
"CPALTT01","Consumer prices: all items","RUS","Russia","GP","Growth previous period","A","Annual","2015","2015","PC","Percentage","0","Units",,,15.5343993066092,,
"CPALTT01","Consumer prices: all items","RUS","Russia","GP","Growth previous period","A","Annual","2016","2016","PC","Percentage","0","Units",,,7.04243556528758,,
"CPALTT01","Consumer prices: all items","SAU","Saudi Arabia","GP","Growth previous period","A","Annual","2014","2014","PC","Percentage","0","Units",,,2.23629031536969,,
"CPALTT01","Consumer prices: all items","SAU","Saudi Arabia","GP","Growth previous period","A","Annual","2015","2015","PC","Percentage","0","Units",,,1.20607322150118,,
